id,timestamp,announcement,build_decision,current_evidence,assignment_or_gap_reason,limitation
A01,04:22–08:51,On-device foundation models plus stronger Private Cloud Compute models; personal context and ecosystem integration,BUILD_PARTIAL,Related runtime/source exists; specific parity incomplete and untested live,"Retain existing Claude Code/Claude Max session execution on Mac mini. No model independence, local LLM hosting or new paid inference API.",Outcome feasible; OS placement or provider integration conditional
A02,09:24,"Retrieve and reconcile personal context across Mail and Messages, including relationships and earlier conversations",BUILD_PARTIAL,Related agent skills exist; connector/product behavior unverified,Authorized provider connectors and explicit imports; ordinary iOS apps cannot assume access to the Messages database or Mail's private store. Current release uses existing Claude Max runtime and existing/no-new-fee tools only; no new paid inference APIs.,"Public APIs, permissions, integrations and device capability must be checked"
A03,09:44,See what the user sees and combine visual context with current world knowledge,BUILD_PARTIAL,No dedicated implementation verified in static audit,"In-app camera, shared screenshot/document, search connector with citations. No silent global screen access. Current release uses existing Claude Max runtime and existing/no-new-fee tools only; no new paid inference APIs.","Public APIs, permissions, integrations and device capability must be checked"
A04,09:53,Derive missing recipe ingredients and add them to a grocery list; Stuff integration,BUILD_PARTIAL,Family/pantry/list code exists; full source-grounded flow unverified,Source-grounded recipe/list comparison and supported list adapters; do not assume Stuff API access. Current release uses existing Claude Max runtime and existing/no-new-fee tools only; no new paid inference APIs.,Outcome feasible; OS placement or provider integration conditional
A05,10:02,"Actions across claimed 300,000 apps; WhatsApp messages and Audible playback",BUILD_PARTIAL,Related runtime/source exists; specific parity incomplete and untested live,Publish an actually tested connector catalog. Deep links/composers/API actions where supported; no universal app-control promise. Current release uses existing Claude Max runtime and existing/no-new-fee tools only; no new paid inference APIs.,"Public APIs, permissions, integrations and device capability must be checked"
A06,10:17,Draft Outlook email; find Notability homework; save restaurant to Tripsy; developer adoption,BUILD_PARTIAL,Related agent skills exist; connector/product behavior unverified,"Email API draft, authorized document search, travel list/API adapter; integration per service. Current release uses existing Claude Max runtime and existing/no-new-fee tools only; no new paid inference APIs.","Public APIs, permissions, integrations and device capability must be checked"
A07,10:17–10:40,"Voice and typed conversation, dedicated Siri app, history, new conversations, private cross-device sync",BUILD,Related runtime/source exists; specific parity incomplete and untested live,"Native chat, voice, encrypted synchronized history with explicit key and server-access model. Current release uses existing Claude Max runtime and existing/no-new-fee tools only; no new paid inference APIs.","Model quality, cost, latency and tested implementation"
A08,10:50,Camera assistant extracts multiple events and adds them to calendar together,BUILD_PARTIAL,No dedicated implementation verified in static audit,Photograph/import schedule → event preview → authorized batch writes with deduplication. Current release uses existing Claude Max runtime and existing/no-new-fee tools only; no new paid inference APIs.,Outcome feasible; OS placement or provider integration conditional
A09,11:03,"Writing and editing virtually anywhere, including drafting a soccer-coach email",BUILD_PARTIAL,Related agent skills exist; connector/product behavior unverified,"In-app composer, share/action extensions, supported keyboard text operations. Not universal OS text replacement. Current release uses existing Claude Max runtime and existing/no-new-fee tools only; no new paid inference APIs.","Public APIs, permissions, integrations and device capability must be checked"
A10,11:12,"Expressive voices, multiple choices, customizable speaking pace and expressivity",BUILD_PARTIAL,No dedicated implementation verified in static audit,Use existing authorized Claude path for text reasoning/translation/recaps and practical built-in speech utilities where available. Unsupported audio capability stays a gap; no paid speech API or new model deployment.,Outcome feasible; OS placement or provider integration conditional
